N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
I2;100000139;;Inchiostro rosso per timbri;1;PZ;5;15/26.3.2021;;3;;;NO
L1;100000195;;Lucidi per fotocopiatrice;;SC;650;21.04.2021;;100;;;NO
L2;100000194;;Lucidi per stampante inchiostro;;SC;150;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
L24;;;Lampadine Osram 24V 250W per retroproiettore;;;;15/26.3.2021;;;si acquistano solo su bisgono;;Manca quantità MINIMA
L36;;;Lampadine Osram 36V 400W per retroproiettore;;;;15/26.3.2021;;;si acquistano solo su bisgono;;Manca quantità MINIMA
L5;;715222;Penna laser;1;PZ;1;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M1;100000045;;Mappette per classatore;100;SC;829;21.04.2021;;500;;;NO
M11;100000051;;Mappette di carta bianche con finestrella;100;SC;503;21.04.2021;;20;;;NO
M12;100000114;;Mappette di carta celesti con finestrella;100;SC;200;21.04.2021;;20;;;NO
M13;100000112;;Mappette di carta gialle con finestrella;100;SC;125;21.04.2021;;20;;;NO
M15;100000113;;Mappette di carta rosa con finestrella;100;SC;214;21.04.2021;;20;;;NO
M16;100000115;;Mappette di carta verdi con finestrella;100;SC;170;21.04.2021;;20;;;NO
M20;;380464004;Mappette plastica arancio (liscie);100;SC;108;21.04.2021;;200;;;SI, 92
M21;100000108;;Mappette plastica blu;100;SC;400;21.04.2021;;200;;;NO
M22;100000106;;Mappette plastica gialle;100;SC;200;21.04.2021;;200;;;NO
M23;100000107;;Mappette plastica rosse;100;SC;134;21.04.2021;;200;;;SI, 66
M24;100000105;;Mappette plastica incolore;100;SC;120;21.04.2021;;200;;;SI, 80
M25;100000109;;Mappette plastica verdi;100;SC;138;21.04.2021;;200;;;SI, 62
M26;;380464006;Mappette plastica viola;100;SC;90;21.04.2021;;200;;;SI, 110
M30;;;Mappette con raccoglitore bianche;1;PZ;112;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M31;;;Mappette con raccoglitore blu;1;PZ;44;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M32;;;Mappette con raccoglitore gialle;1;PZ;106;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
